ANT1,20.40,4.90,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,12.40,7.10,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,0.20,-5.05,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,12.80,1.70,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C11,13.95,2.30,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,10.60,4.80,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,9.80,4.80,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C14,4.60,5.10,90.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C15,7.90,5.10,90.00,1.0uF,NORDIC_NRF_3_RESC0402_L
C16,9.00,4.80,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,3.40,2.70,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,3.40,1.80,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-17.20,9.55,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,14.60,6.90,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-1.10,-6.40,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,3.10,-3.30,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C21,4.70,-4.30,270.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C22,19.40,2.50,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C23,-15.90,14.60,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,-15.90,16.40,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,-15.90,13.10,90.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,6.60,12.50,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,10.50,-12.30,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,19.40,1.05,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-11.50,-12.30,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,-0.40,-12.30,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,-9.50,16.50,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,-10.50,14.20,90.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,-9.50,14.80,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-5.40,7.60,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,-5.00,3.70,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,-7.80,6.40,270.00,10uF,NORDIC_NRF_3_RESC0402_L
